REGION,Neuron,BAMS_URI
Forebrain,Dentate granule cell,http://senselab.med.yale.edu/CellPropDB/cpData.asp?cellid=257
Forebrain,CA1 pyramidal neuron,http://senselab.med.yale.edu/CellPropDB/cpData.asp?cellid=258
Forebrain,CA1 oriens alveus interneuron,http://senselab.med.yale.edu/CellPropDB/cpData.asp?cellid=35373
Forebrain,CA3 pyramidal neuron,http://senselab.med.yale.edu/CellPropDB/cpData.asp?cellid=259
Forebrain,Neostriatal cholineric interneuron,http://senselab.med.yale.edu/CellPropDB/cpData.asp?cellid=7021
Forebrain,Neostriatal spiny neuron,http://senselab.med.yale.edu/CellPropDB/cpData.asp?cellid=260
Forebrain,Nigral dopaminergic cell,http://senselab.med.yale.edu/CellPropDB/cpData.asp?cellid=261
Forebrain,Retinal photoreceptor,http://senselab.med.yale.edu/CellPropDB/cpData.asp?cellid=1966
Forebrain,Retinal ganglion cell,http://senselab.med.yale.edu/CellPropDB/cpData.asp?cellid=270
Forebrain,Retinal bipolar cell,http://senselab.med.yale.edu/CellPropDB/cpData.asp?cellid=7020
Forebrain,Thalamic relay neuron,http://senselab.med.yale.edu/CellPropDB/cpData.asp?cellid=262
Forebrain,Thalamic reticular neuron,http://senselab.med.yale.edu/CellPropDB/cpData.asp?cellid=263
Forebrain,Neocortical pyramidal neuron: deep,http://senselab.med.yale.edu/CellPropDB/cpData.asp?cellid=265
Forebrain,Neocortical pyramidal neuron: superficial,http://senselab.med.yale.edu/CellPropDB/cpData.asp?cellid=266
Forebrain,Neocortical basket call,http://senselab.med.yale.edu/CellPropDB/cpData.asp?cellid=7387
Forebrain,Olfactory receptor neuron,http://senselab.med.yale.edu/CellPropDB/cpData.asp?cellid=268
Forebrain,Olfactory bulb mitral cell,http://senselab.med.yale.edu/CellPropDB/cpData.asp?cellid=267
Forebrain,Olfactory bulb granule cell,http://senselab.med.yale.edu/CellPropDB/cpData.asp?cellid=3979
Forebrain,Olfactory bulb periglomerular cell,http://senselab.med.yale.edu/CellPropDB/cpData.asp?cellid=3978
Forebrain,Olfactory cortex pyramidal neuron,http://senselab.med.yale.edu/CellPropDB/cpData.asp?cellid=269
Forebrain,Olfactory cortex interneuron: superficial,http://senselab.med.yale.edu/CellPropDB/cpData.asp?cellid=6013
Forebrain,Olfactory cortex interneuron: deep,http://senselab.med.yale.edu/CellPropDB/cpData.asp?cellid=6034
Archicortex,Dentate granule cell,http://senselab.med.yale.edu/CellPropDB/cpData.asp?cellid=257
Archicortex,CA1 pyramidal neuron,http://senselab.med.yale.edu/CellPropDB/cpData.asp?cellid=258
Archicortex,CA1 oriens alveus interneuron,http://senselab.med.yale.edu/CellPropDB/cpData.asp?cellid=35373
Archicortex,CA3 pyramidal neuron,http://senselab.med.yale.edu/CellPropDB/cpData.asp?cellid=259
BasalGanglia,Neostriatal cholineric interneuron,http://senselab.med.yale.edu/CellPropDB/cpData.asp?cellid=7021
BasalGanglia,Neostriatal spiny neuron,http://senselab.med.yale.edu/CellPropDB/cpData.asp?cellid=260
BasalGanglia,Nigral dopaminergic cell,http://senselab.med.yale.edu/CellPropDB/cpData.asp?cellid=261
Diencephalon,Retinal photoreceptor,http://senselab.med.yale.edu/CellPropDB/cpData.asp?cellid=1966
Diencephalon,Retinal ganglion cell,http://senselab.med.yale.edu/CellPropDB/cpData.asp?cellid=270
Diencephalon,Retinal bipolar cell,http://senselab.med.yale.edu/CellPropDB/cpData.asp?cellid=7020
Diencephalon,Thalamic relay neuron,http://senselab.med.yale.edu/CellPropDB/cpData.asp?cellid=262
Diencephalon,Thalamic reticular neuron,http://senselab.med.yale.edu/CellPropDB/cpData.asp?cellid=263
Neocortex,Neocortical pyramidal neuron: deep,http://senselab.med.yale.edu/CellPropDB/cpData.asp?cellid=265
Neocortex,Neocortical pyramidal neuron: superficial,http://senselab.med.yale.edu/CellPropDB/cpData.asp?cellid=266
Neocortex,Neocortical basket call,http://senselab.med.yale.edu/CellPropDB/cpData.asp?cellid=7387
Olfactory Epithelium,Olfactory receptor neuron,http://senselab.med.yale.edu/CellPropDB/cpData.asp?cellid=268
Olfactory Bulb,Olfactory bulb mitral cell,http://senselab.med.yale.edu/CellPropDB/cpData.asp?cellid=267
Olfactory Bulb,Olfactory bulb granule cell,http://senselab.med.yale.edu/CellPropDB/cpData.asp?cellid=3979
Olfactory Bulb,Olfactory bulb periglomerular cell,http://senselab.med.yale.edu/CellPropDB/cpData.asp?cellid=3978
Paleocortex,Olfactory cortex pyramidal neuron,http://senselab.med.yale.edu/CellPropDB/cpData.asp?cellid=269
Paleocortex,Olfactory cortex interneuron: superficial,http://senselab.med.yale.edu/CellPropDB/cpData.asp?cellid=6013
Paleocortex,Olfactory cortex interneuron: deep,http://senselab.med.yale.edu/CellPropDB/cpData.asp?cellid=6034
Dentate,Dentate granule cell,http://senselab.med.yale.edu/CellPropDB/cpData.asp?cellid=257
Hippocampus,CA1 pyramidal neuron,http://senselab.med.yale.edu/CellPropDB/cpData.asp?cellid=258
Hippocampus,CA1 oriens alveus interneuron,http://senselab.med.yale.edu/CellPropDB/cpData.asp?cellid=35373
Hippocampus,CA3 pyramidal neuron,http://senselab.med.yale.edu/CellPropDB/cpData.asp?cellid=259
Neostriatum,Neostriatal cholineric interneuron,http://senselab.med.yale.edu/CellPropDB/cpData.asp?cellid=7021
Neostriatum,Neostriatal spiny neuron,http://senselab.med.yale.edu/CellPropDB/cpData.asp?cellid=260
Substantia Nigra,Nigral dopaminergic cell,http://senselab.med.yale.edu/CellPropDB/cpData.asp?cellid=261
Retina,Retinal photoreceptor,http://senselab.med.yale.edu/CellPropDB/cpData.asp?cellid=1966
Retina,Retinal ganglion cell,http://senselab.med.yale.edu/CellPropDB/cpData.asp?cellid=270
Retina,Retinal bipolar cell,http://senselab.med.yale.edu/CellPropDB/cpData.asp?cellid=7020
Thalamus,Thalamic relay neuron,http://senselab.med.yale.edu/CellPropDB/cpData.asp?cellid=262
Thalamus,Thalamic reticular neuron,http://senselab.med.yale.edu/CellPropDB/cpData.asp?cellid=263
Visual & Motor,Neocortical pyramidal neuron: deep,http://senselab.med.yale.edu/CellPropDB/cpData.asp?cellid=265
Visual & Motor,Neocortical pyramidal neuron: superficial,http://senselab.med.yale.edu/CellPropDB/cpData.asp?cellid=266
Visual & Motor,Neocortical basket call,http://senselab.med.yale.edu/CellPropDB/cpData.asp?cellid=7387
Olfactory Cortex,Olfactory cortex pyramidal neuron,http://senselab.med.yale.edu/CellPropDB/cpData.asp?cellid=269
Olfactory Cortex,Olfactory cortex interneuron: superficial,http://senselab.med.yale.edu/CellPropDB/cpData.asp?cellid=6013
Olfactory Cortex,Olfactory cortex interneuron: deep,http://senselab.med.yale.edu/CellPropDB/cpData.asp?cellid=6034
Metencephalon,Cerebellar granule cell,http://senselab.med.yale.edu/CellPropDB/cpData.asp?cellid=7346
Metencephalon,Cerebellar purkinje cell,http://senselab.med.yale.edu/CellPropDB/cpData.asp?cellid=271
Metencephalon,Hair cell (auditory),http://senselab.med.yale.edu/CellPropDB/cpData.asp?cellid=1965
Metencephalon,Hair cell (vestibular),http://senselab.med.yale.edu/CellPropDB/cpData.asp?cellid=272
Metencephalon,CN bushy cell,http://senselab.med.yale.edu/CellPropDB/cpData.asp?cellid=273
Metencephalon,CN octopus cell,http://senselab.med.yale.edu/CellPropDB/cpData.asp?cellid=277
Metencephalon,CN pyramidal (fusiform) cell,http://senselab.med.yale.edu/CellPropDB/cpData.asp?cellid=274
Spinal Cord,Spinal motor neuron,http://senselab.med.yale.edu/CellPropDB/cpData.asp?cellid=276
Spinal Cord,Spinal Ia interneuron,http://senselab.med.yale.edu/CellPropDB/cpData.asp?cellid=275
Cerebellum,Cerebellar granule cell,http://senselab.med.yale.edu/CellPropDB/cpData.asp?cellid=7346
Cerebellum,Cerebellar purkinje cell,http://senselab.med.yale.edu/CellPropDB/cpData.asp?cellid=271
Inner Ear,Hair cell (auditory),http://senselab.med.yale.edu/CellPropDB/cpData.asp?cellid=1965
Inner Ear,Hair cell (vestibular),http://senselab.med.yale.edu/CellPropDB/cpData.asp?cellid=272
Cochlear Nucleus,CN bushy cell,http://senselab.med.yale.edu/CellPropDB/cpData.asp?cellid=273
Cochlear Nucleus,CN octopus cell,http://senselab.med.yale.edu/CellPropDB/cpData.asp?cellid=277
Cochlear Nucleus,CN pyramidal (fusiform) cell,http://senselab.med.yale.edu/CellPropDB/cpData.asp?cellid=274
Segment,Spinal motor neuron,http://senselab.med.yale.edu/CellPropDB/cpData.asp?cellid=276
Segment,Spinal Ia interneuron,http://senselab.med.yale.edu/CellPropDB/cpData.asp?cellid=275
Cochlea,Hair cell (auditory),http://senselab.med.yale.edu/CellPropDB/cpData.asp?cellid=1965
Vestibular Organ,Hair cell (vestibular),http://senselab.med.yale.edu/CellPropDB/cpData.asp?cellid=272
Anterior Ventral CN,CN bushy cell,http://senselab.med.yale.edu/CellPropDB/cpData.asp?cellid=273
