ID,Review,Mapped to parent structure,FreeSurfer,Hemisphere,TissueClass,BIRN_String,BIRN_ID,BIRN_Title,BIRN_URI,NN_ID,NN_String,IBVD,UMLS_CID,UMLS_CN
0,,,Unknown,,,,,,,,,,,
1,,,Left-Cerebral-Exterior,L,,Superficial_features_of_cerebral_cortex,birnOrgAnatomy_273,Superficial features of cerebral cortex,http://www.nbirn.net/birnlex/1.2/BIRNLex-OrganismalAnatomy.owl#birnOrgAnatomy_273,,,,,
2,,,Left-Cerebral-White-Matter,L,wm,Cerebral_white_matter,birnOrgAnatomy_201,Cerebral white matter,http://www.nbirn.net/birnlex/1.2/BIRNLex-OrganismalAnatomy.owl#birnOrgAnatomy_201,171,CEREBRAL WHITE MATTER,Cerebral White Matter,C0152295,Cerebral white matter structure
3,,,Left-Cerebral-Cortex,L,gray,Cerebral_cortex,birnOrgAnatomy_064,Cerebral cortex,http://www.nbirn.net/birnlex/1.2/BIRNLex-OrganismalAnatomy.owl#birnOrgAnatomy_064,20,CEREBRAL CORTEX,Cerebral Cortex,C0007776,Cerebral cortex
4,,,Left-Lateral-Ventricle,L,,Lateral_ventricle,birnOrgAnatomy_014,Lateral ventricle,http://www.nbirn.net/birnlex/1.2/BIRNLex-OrganismalAnatomy.owl#birnOrgAnatomy_014,,,Lateral Ventricle,C0152279,Lateral ventricle structure
5,,,Left-Inf-Lat-Vent,L,,Inferior_horn_of_the_lateral_ventricle,birnOrgAnatomy_018,Inferior horn of the lateral ventricle,http://www.nbirn.net/birnlex/1.2/BIRNLex-OrganismalAnatomy.owl#birnOrgAnatomy_018,,,Inferior Lateral Ventricle,C0152283,Structure of inferior horn of lateral ventricle (body structure)
6,,,Left-Cerebellum-Exterior,L,,Cerebellum,birnOrgAnatomy_063,Cerebellum,http://www.nbirn.net/birnlex/1.2/BIRNLex-OrganismalAnatomy.owl#birnOrgAnatomy_063,640,CEREBELLUM,Cerebellum,C0007765,Cerebellum
7,,,Left-Cerebellum-White-Matter,L,wm,Cerebellar_white_matter,birnOrgAnatomy_101,Cerebellar white matter,http://www.nbirn.net/birnlex/1.2/BIRNLex-OrganismalAnatomy.owl#birnOrgAnatomy_101,688,CEREBELLAR WHITE MATTER,Cerebellum White Matter,C0152381,Cerebellar white matter structure (body structure)
8,,,Left-Cerebellum-Cortex,L,gray,Cerebellar_cortex,birnOrgAnatomy_100,Cerebellar cortex,http://www.nbirn.net/birnlex/1.2/BIRNLex-OrganismalAnatomy.owl#birnOrgAnatomy_100,644,CEREBELLAR CORTEX,,,
9,,,Left-Thalamus,L,,Thalamus,birnOrgAnatomy_093,Thalamus,http://www.nbirn.net/birnlex/1.2/BIRNLex-OrganismalAnatomy.owl#birnOrgAnatomy_093,283,THALAMUS,Thalamus,C0039729,Thalamic structure
10,,,Left-Thalamus-Proper,L,,Thalamus,birnOrgAnatomy_093,Thalamus,http://www.nbirn.net/birnlex/1.2/BIRNLex-OrganismalAnatomy.owl#birnOrgAnatomy_093,283,THALAMUS,Thalamus,C0039729,Thalamic structure
