# SNOMED-CT codes from:
# https://www.nlm.nih.gov/research/umls/Snomed/snomed_main.html
# These are also included in the DICOM standard, subject to the SNOMED-DICOM reuse agreement:
# ftp://medical.nema.org/medical/dicom/Geninfo/Policies/code_policy_20000921.pdf
# Integer Label,Text Label,Segmented Property Category -- CID 7150++,Segmented Property Type,Segmented Property Type Modifier,Color
# Version 2
SlicerLUT=GenericAnatomyColors
1,tissue,(T-D0050;SRT;Tissue),(T-D0050;SRT;Tissue),,rgb(128;174;128)
2,bone,(T-D0050;SRT;Tissue),(T-D016E;SRT;Bone),,rgb(241;214;145)
3,skin,(T-D0050;SRT;Tissue),(T-01000;SRT;Skin),,rgb(177;122;101)
4,connective tissue,(T-D0050;SRT;Tissue),(T-1A200;SRT;Connective Tissue),,rgb(111;184;210)
5,blood,(T-D0080;SRT;Body Substance),(T-C2000;SRT;Blood),,rgb(216;101;79)
6,organ,(T-D0050;SRT;Tissue),(T-1A310;SRT;Organ),,rgb(221;130;101)
7,mass,(M-01000;SRT;Morphologically Altered Structure),(M-03000;SRT;Mass),,rgb(144;238;144)
8,muscle,(T-D0050;SRT;Tissue),(T-13001;SRT;Muscle),,rgb(192;104;88)
9,foreign object,(A-00004;SRT;Physical Object),(M-30400;SRT;Foreign Body),,rgb(220;245;20)
10,waste,(A-00004;SRT;Physical Object),(F-61779;SRT;Waste Material),,rgb(78;63;0)
11,teeth,(T-D000A;SRT;Anatomical Structure),(T-5401E;SRT;Tooth),,rgb(255;250;220)
12,fat,(T-D0050;SRT;Tissue),(F-03D38;SRT;Body Fat),,rgb(230;220;70)
13,gray matter,(T-D0050;SRT;Tissue),(T-A0096;SRT;Gray Matter),,rgb(200;200;235)
14,white matter,(T-D0050;SRT;Tissue),(T-A0095;SRT;White Matter),,rgb(250;250;210)
15,nerve,(T-D0050;SRT;Tissue),(T-D0598;SRT;Nerve),,rgb(244;214;49)
16,vein,(T-D0050;SRT;Tissue),(T-4806E;SRT;Vein),,rgb(0;151;206)
17,artery,(T-D0050;SRT;Tissue),(T-41066;SRT;Artery),,rgb(216;101;79)
18,capillary,(T-D0050;SRT;Tissue),(T-40050;SRT;Capillary),,rgb(183;156;220)
19,ligament,(T-D0050;SRT;Tissue),(T-18010;SRT;Ligament),,rgb(183;214;211)
20,tendon,(T-D0050;SRT;Tissue),(T-17010;SRT;Tendon),,rgb(152;189;207)
21,cartilage,(T-D0050;SRT;Tissue),(T-D021B;SRT;Cartilage),,rgb(111;184;210)
22,meniscus,(T-D0050;SRT;Tissue),(T-15009;SRT;Meniscus),,rgb(178;212;242)
23,lymph node,(T-D0050;SRT;Tissue),(T-C4000;SRT;Lymph Node),,rgb(68;172;100)
24,lymphatic vessel,(T-D0050;SRT;Tissue),(T-C6010;SRT;Lymphatic Vessel),,rgb(111;197;131)
25,cerebro-spinal fluid,(T-D0080;SRT;Body Substance),(T-A1000;SRT;Cerebrospinal Fluid),,rgb(85;188;255)
26,bile,(T-D0080;SRT;Body Substance),(T-60650;SRT;Bile),,rgb(0;145;30)
27,urine,(T-D0080;SRT;Body Substance),(T-70060;SRT;Urine),,rgb(214;230;130)
28,feces,(T-D0080;SRT;Body Substance),(T-59666;SRT;Feces),,rgb(78;63;0)
29,gas,(T-D0080;SRT;Body Substance),(C-10080;SRT;Gas),,rgb(218;255;255)
30,fluid,(T-D0080;SRT;Body Substance),(T-D0070;SRT;Body Fluid),,rgb(170;250;250)
31,edema,(M-01000;SRT;Morphologically Altered Structure),(M-36300;SRT;Edema),,rgb(140;224;228)
32,bleeding,(M-01000;SRT;Morphologically Altered Structure),(M-37000;SRT;Hemorrhage),,rgb(188;65;28)
33,necrosis,(M-01000;SRT;Morphologically Altered Structure),(M-54000;SRT;Necrosis),,rgb(216;191;216)
34,clot,(M-01000;SRT;Morphologically Altered Structure),(M-35000;SRT;Blood Clot),,rgb(145;60;66)
35,embolism,(M-01000;SRT;Morphologically Altered Structure),(M-35300;SRT;Embolus),,rgb(150;98;83)
36,head,(T-D000A;SRT;Anatomical Structure),(T-D1105;SRT;Head),,rgb(177;122;101)
37,central nervous system,(T-D000A;SRT;Anatomical Structure),(T-A0091;SRT;Central Nervous System),,rgb(244;214;49)
38,brain,(T-D000A;SRT;Anatomical Structure),(T-A0100;SRT;Brain),,rgb(250;250;225)
39,gray matter of brain,(T-D0050;SRT;Tissue),(T-A2020;SRT;Cerebral Gray Matter),,rgb(200;200;215)
40,telencephalon,(T-D000A;SRT;Anatomical Structure),(T-A010E;SRT;Telencephalon),,rgb(68;131;98)
41,cerebral cortex,(T-D000A;SRT;Anatomical Structure),(T-A2021;SRT;Cerebral Cortex),,rgb(128;174;128)
42,right frontal lobe,(T-D000A;SRT;Anatomical Structure),(T-A2218;SRT;Frontal Lobe),(G-A100;SRT;Right),rgb(83;146;164)
43,left frontal lobe,(T-D000A;SRT;Anatomical Structure),(T-A2218;SRT;Frontal Lobe),(G-A101;SRT;Left),rgb(83;146;164)
44,right temporal lobe,(T-D000A;SRT;Anatomical Structure),(T-A2513;SRT;Temporal Lobe),(G-A100;SRT;Right),rgb(162;115;105)
45,left temporal lobe,(T-D000A;SRT;Anatomical Structure),(T-A2513;SRT;Temporal Lobe),(G-A101;SRT;Left),rgb(162;115;105)
46,right parietal lobe,(T-D000A;SRT;Anatomical Structure),(T-A230F;SRT;Parietal Lobe),(G-A100;SRT;Right),rgb(141;93;137)
47,left parietal lobe,(T-D000A;SRT;Anatomical Structure),(T-A230F;SRT;Parietal Lobe),(G-A101;SRT;Left),rgb(141;93;137)
48,right occipital lobe,(T-D000A;SRT;Anatomical Structure),(T-A240F;SRT;Occipital Lobe),(G-A100;SRT;Right),rgb(182;166;110)
49,left occipital lobe,(T-D000A;SRT;Anatomical Structure),(T-A240F;SRT;Occipital Lobe),(G-A101;SRT;Left),rgb(182;166;110)
50,right insular lobe,(T-D000A;SRT;Anatomical Structure),(T-A2615;SRT;Insula),(G-A100;SRT;Right),rgb(188;135;166)
51,left insular lobe,(T-D000A;SRT;Anatomical Structure),(T-A2615;SRT;Insula),(G-A101;SRT;Left),rgb(188;135;166)
52,right limbic lobe,(T-D000A;SRT;Anatomical Structure),(T-A0036;SRT;Limbic Lobe),(G-A100;SRT;Right),rgb(154;150;201)
53,left limbic lobe,(T-D000A;SRT;Anatomical Structure),(T-A0036;SRT;Limbic Lobe),(G-A101;SRT;Left),rgb(154;150;201)
54,right striatum,(T-D000A;SRT;Anatomical Structure),(T-A3101;SRT;Corpus Striatum),(G-A100;SRT;Right),rgb(177;140;190)
55,left striatum,(T-D000A;SRT;Anatomical Structure),(T-A3101;SRT;Corpus Striatum),(G-A101;SRT;Left),rgb(177;140;190)
56,right caudate nucleus,(T-D000A;SRT;Anatomical Structure),(T-A3201;SRT;Caudate Nucleus),(G-A100;SRT;Right),rgb(30;111;85)
57,left caudate nucleus,(T-D000A;SRT;Anatomical Structure),(T-A3201;SRT;Caudate Nucleus),(G-A101;SRT;Left),rgb(30;111;85)
58,right putamen,(T-D000A;SRT;Anatomical Structure),(T-A3401;SRT;Putamen),(G-A100;SRT;Right),rgb(210;157;166)
59,left putamen,(T-D000A;SRT;Anatomical Structure),(T-A3401;SRT;Putamen),(G-A101;SRT;Left),rgb(210;157;166)
60,right pallidum,(T-D000A;SRT;Anatomical Structure),(T-A3503;SRT;Globus Pallidus),(G-A100;SRT;Right),rgb(48;129;126)
61,left pallidum,(T-D000A;SRT;Anatomical Structure),(T-A3503;SRT;Globus Pallidus),(G-A101;SRT;Left),rgb(48;129;126)
62,right amygdaloid complex,(T-D000A;SRT;Anatomical Structure),(T-A3231;SRT;Amygdaloid Nucleus),(G-A100;SRT;Right),rgb(98;153;112)
63,left amygdaloid complex,(T-D000A;SRT;Anatomical Structure),(T-A3231;SRT;Amygdaloid Nucleus),(G-A101;SRT;Left),rgb(98;153;112)
64,diencephalon,(T-D000A;SRT;Anatomical Structure),(T-A0107;SRT;Diencephalon),(G-A100;SRT;Right),rgb(69;110;53)
65,thalamus,(T-D000A;SRT;Anatomical Structure),(T-A4001;SRT;Nucleus of Thalamus),(G-A101;SRT;Left),rgb(166;113;137)
66,right thalamus,(T-D000A;SRT;Anatomical Structure),(T-A4001;SRT;Nucleus of Thalamus),(G-A100;SRT;Right),rgb(122;101;38)
67,left thalamus,(T-D000A;SRT;Anatomical Structure),(T-A4001;SRT;Nucleus of Thalamus),(G-A101;SRT;Left),rgb(122;101;38)
68,pineal gland,(T-D000A;SRT;Anatomical Structure),(T-B2003;SRT;Pineal Gland),,rgb(253;135;192)
69,midbrain,(T-D000A;SRT;Anatomical Structure),(T-A510A;SRT;Midbrain),,rgb(145;92;109)
70,substantia nigra,(T-D000A;SRT;Anatomical Structure),(T-A5163;SRT;Substantia Nigra),,rgb(46;101;131)
71,right substantia nigra,(T-D000A;SRT;Anatomical Structure),(T-A5163;SRT;Substantia Nigra),(G-A100;SRT;Right),rgb(0;108;112)
72,left substantia nigra,(T-D000A;SRT;Anatomical Structure),(T-A5163;SRT;Substantia Nigra),(G-A101;SRT;Left),rgb(0;108;112)
73,cerebral white matter,(T-D000A;SRT;Anatomical Structure),(T-A2032;SRT;Cerebral White Matter),,rgb(250;250;225)
74,right superior longitudinal fasciculus,(T-D000A;SRT;Anatomical Structure),(T-A2820;SRT;Superior Longitudinal Fasciculus),(G-A100;SRT;Right),rgb(127;150;88)
75,left superior longitudinal fasciculus,(T-D000A;SRT;Anatomical Structure),(T-A2820;SRT;Superior Longitudinal Fasciculus),(G-A101;SRT;Left),rgb(127;150;88)
76,right inferior longitudinal fasciculus,(T-D000A;SRT;Anatomical Structure),(T-A2851;SRT;Inferior Longitudinal Fasciculus),(G-A100;SRT;Right),rgb(159;116;163)
77,left inferior longitudinal fasciculus,(T-D000A;SRT;Anatomical Structure),(T-A2851;SRT;Inferior Longitudinal Fasciculus),(G-A101;SRT;Left),rgb(159;116;163)
78,right arcuate fasciculus,(T-D000A;SRT;Anatomical Structure),(276650;FMA;Arcuate Fasciculus),(G-A100;SRT;Right),rgb(125;102;154)
79,left arcuate fasciculus,(T-D000A;SRT;Anatomical Structure),(276650;FMA;Arcuate Fasciculus),(G-A101;SRT;Left),rgb(125;102;154)
80,right uncinate fasciculus,(T-D000A;SRT;Anatomical Structure),(T-A2831;SRT;Uncinate Fasciculus),(G-A100;SRT;Right),rgb(106;174;155)
81,left uncinate fasciculus,(T-D000A;SRT;Anatomical Structure),(T-A2831;SRT;Uncinate Fasciculus),(G-A101;SRT;Left),rgb(106;174;155)
82,right cingulum bundle,(T-D000A;SRT;Anatomical Structure),(T-A2841;SRT;Cingulum),(G-A100;SRT;Right),rgb(154;146;83)
83,left cingulum bundle,(T-D000A;SRT;Anatomical Structure),(T-A2841;SRT;Cingulum),(G-A101;SRT;Left),rgb(154;146;83)
85,right corticospinal tract,(T-D000A;SRT;Anatomical Structure),(T-A709C;SRT;Lateral Corticospinal Tract),(G-A100;SRT;Right),rgb(201;160;133)
86,left corticospinal tract,(T-D000A;SRT;Anatomical Structure),(T-A709C;SRT;Lateral Corticospinal Tract),(G-A101;SRT;Left),rgb(201;160;133)
87,right optic radiation,(T-D000A;SRT;Anatomical Structure),(T-A2881;SRT;Optic Radiation),(G-A100;SRT;Right),rgb(78;152;141)
88,left optic radiation,(T-D000A;SRT;Anatomical Structure),(T-A2881;SRT;Optic Radiation),(G-A101;SRT;Left),rgb(78;152;141)
89,right medial lemniscus,(T-D000A;SRT;Anatomical Structure),(T-A5273; SRT;Medial Lemniscus),(G-A100;SRT;Right),rgb(174;140;103)
90,left medial lemniscus,(T-D000A;SRT;Anatomical Structure),(T-A5273; SRT;Medial Lemniscus),(G-A101;SRT;Left),rgb(174;140;103)
91,right superior cerebellar peduncle,(T-D000A;SRT;Anatomical Structure),(T-A6621; SRT; superior cerebellar peduncle),(G-A100;SRT;Right),rgb(139;126;177)
92,left superior cerebellar peduncle,(T-D000A;SRT;Anatomical Structure),(T-A6621; SRT; superior cerebellar peduncle),(G-A101;SRT;Left),rgb(139;126;177)
93,right middle cerebellar peduncle,(T-D000A;SRT;Anatomical Structure),(T-A6631;SRT;middle cerebellar peduncle),(G-A100;SRT;Right),rgb(148;120;72)
94,left middle cerebellar peduncle,(T-D000A;SRT;Anatomical Structure),(T-A6631;SRT;middle cerebellar peduncle),(G-A101;SRT;Left),rgb(148;120;72)
95,right inferior cerebellar peduncle,(T-D000A;SRT;Anatomical Structure),(T-A6641;SRT;inferior cerebellar peduncle ),(G-A100;SRT;Right),rgb(186;135;135)
96,left inferior cerebellar peduncle,(T-D000A;SRT;Anatomical Structure),(T-A6641;SRT;inferior cerebellar peduncle ),(G-A101;SRT;Left),rgb(186;135;135)
97,optic chiasm,(T-D000A;SRT;Anatomical Structure),(T-A800B;SRT;Optic Chiasm),,rgb(99;106;24)
98,right optic tract,(T-D000A;SRT;Anatomical Structure),(T-A807B1;SRT;optic tract),(G-A100;SRT;Right),rgb(156;171;108)
99,left optic tract,(T-D000A;SRT;Anatomical Structure),(T-A807B1;SRT;optic tract),(G-A101;SRT;Left),rgb(156;171;108)
100,right fornix,(T-D000A;SRT;Anatomical Structure),(T-A2978;SRT;cerebral fornix),(G-A100;SRT;Right),rgb(64;123;147)
101,left fornix,(T-D000A;SRT;Anatomical Structure),(T-A2978;SRT;cerebral fornix),(G-A101;SRT;Left),rgb(64;123;147)
103,corpus callosum,(T-D000A;SRT;Anatomical Structure),(T-A2701;SRT;corpus callosum),,rgb(97;113;158)
104,posterior commissure,(T-D000A;SRT;Anatomical Structure),(T-A4904;SRT;Posterior Cerebral Commissure),,rgb(126;161;197)
105,cerebellar white matter,(T-D000A;SRT;Anatomical Structure),(T-A6080;SRT;Cerebellar White Matter),,rgb(194;195;164)
106,CSF space,(T-D000A;SRT;Anatomical Structure),(T-A0109;SRT;Brain Cerebrospinal Fluid Pathway),,rgb(85;188;255)
107,ventricles of brain,(T-D000A;SRT;Anatomical Structure),(T-A1603;SRT;Ventricle of Brain),,rgb(88;106;215)
108,right lateral ventricle,(T-D000A;SRT;Anatomical Structure),(T-A1651;SRT;lateral ventricle),(G-A100;SRT;Right),rgb(88;106;215)
109,left lateral ventricle,(T-D000A;SRT;Anatomical Structure),(T-A1651;SRT;lateral ventricle),(G-A101;SRT;Left),rgb(88;106;215)
110,right third ventricle,(T-D000A;SRT;Anatomical Structure),(T-A1741;SRT;third ventricle),(G-A100;SRT;Right),rgb(88;106;215)
111,left third ventricle,(T-D000A;SRT;Anatomical Structure),(T-A1741;SRT;third ventricle),(G-A101;SRT;Left),rgb(88;106;215)
112,cerebral aqueduct,(T-D000A;SRT;Anatomical Structure),(T-A0106;SRT;cerebral aqueduct),,rgb(88;106;215)
113,fourth ventricle,(T-D000A;SRT;Anatomical Structure),(T-A1821;SRT;fourth ventricle),,rgb(88;106;215)
114,subarachnoid space,(T-D000A;SRT;Anatomical Structure),(T-A1503;SRT;subarachnoid space),,rgb(88;106;215)
115,spinal cord,(T-D000A;SRT;Anatomical Structure),(T-A7013;SRT;spinal cord),,rgb(244;214;49)
116,gray matter of spinal cord,(T-D000A;SRT;Anatomical Structure),(T-A7020;SRT;Spinal Cord Gray Matter),,rgb(200;200;215)
117,white matter of spinal cord,(T-D000A;SRT;Anatomical Structure),(T-A7070;SRT;Spinal Cord White Matter),,rgb(250;250;225)
119,pituitary gland,(T-D000A;SRT;Anatomical Structure),(T-B0007;SRT;pituitary gland),,rgb(57;157;110)
120,adenohypophysis,(T-D000A;SRT;Anatomical Structure),(T-B1101;SRT;adenohypophysis),,rgb(60;143;83)
121,neurohypophysis,(T-D000A;SRT;Anatomical Structure),(T-B1201;SRT;neurohypophysis),,rgb(92;162;109)
122,meninges,(T-D000A;SRT;Anatomical Structure),(T-A1110;SRT;Meninges),,rgb(255;244;209)
123,dura mater,(T-D000A;SRT;Anatomical Structure),(T-A1121;SRT;dura mater),,rgb(255;244;209)
124,arachnoid,(T-D000A;SRT;Anatomical Structure),(T-A1223;SRT;arachnoid),,rgb(255;244;209)
125,pia mater,(T-D000A;SRT;Anatomical Structure),(T-A1283;SRT;pia mater),,rgb(255;244;209)
126,muscles of head,(T-D000A;SRT;Anatomical Structure),(T-13103;SRT;Entire skeletal muscle of head),,rgb(201;121;77)
127,salivary glands,(T-D000A;SRT;Anatomical Structure),(T-61004;SRT;salivary gland),,rgb(70;163;117)
128,lips,(T-D000A;SRT;Anatomical Structure),(T-52004;SRT;lip),,rgb(188;91;95)
129,nose,(T-D000A;SRT;Anatomical Structure),(T-21003;SRT;nose),,rgb(177;122;101)
130,tongue,(T-D000A;SRT;Anatomical Structure),(T-5300D;SRT;tongue),,rgb(166;84;94)
131,soft palate,(T-D000A;SRT;Anatomical Structure),(T-51127;SRT;soft palate),,rgb(182;105;107)
132,right inner ear,(T-D000A;SRT;Anatomical Structure),(T-AB707;SRT;inner ear ),(G-A100;SRT;Right),rgb(229;147;118)
133,left inner ear,(T-D000A;SRT;Anatomical Structure),(T-AB707;SRT;inner ear ),(G-A101;SRT;Left),rgb(229;147;118)
134,right external ear,(T-D000A;SRT;Anatomical Structure),(T-AB10B;SRT;external ear ),(G-A100;SRT;Right),rgb(174;122;90)
135,left external ear,(T-D000A;SRT;Anatomical Structure),(T-AB10B;SRT;external ear ),(G-A101;SRT;Left),rgb(174;122;90)
136,right middle ear,(T-D000A;SRT;Anatomical Structure),(T-AB306;SRT;middle ear),(G-A100;SRT;Right),rgb(201;112;73)
137,left middle ear,(T-D000A;SRT;Anatomical Structure),(T-AB306;SRT;middle ear),(G-A101;SRT;Left),rgb(201;112;73)
138,right eyeball,(T-D000A;SRT;Anatomical Structure),(T-AA636;SRT;Fundus of Eye),(G-A100;SRT;Right),rgb(194;142;0)
139,left eyeball,(T-D000A;SRT;Anatomical Structure),(T-AA636;SRT;Fundus of Eye),(G-A101;SRT;Left),rgb(194;142;0)
140,skull,(T-D000A;SRT;Anatomical Structure),(T-11100;SRT;Skull),,rgb(241;213;144)
141,right frontal bone,(T-D000A;SRT;Anatomical Structure),(T-111C6;SRT;frontal bone),(G-A100;SRT;Right),rgb(203;179;77)
