ID,Synonym,Species,Language,Hierarchy Lookup,Ancillary Lookup,PubMedHits
967479846,"(pre-)piriform cortex, temporal area",human,English,,"(pre-)piriform cortex, temporal area",0
1218,A I,human,Abbreviation,,primary auditory area,0
1236,A II,human,Abbreviation,,second auditory area,0
1523,abducens colliculus,human,English,facial colliculus,,0
3235,abducens nerve,human,English,abducens nerve,,1270
3242,abducens nerve fibers,Macaca fascicularis,English,abducens nerve fibers,,0
3241,abducens nerve fibers,human,English,abducens nerve fibers,,0
3617,abducens nerve nucleus,human,English,abducens nucleus,,5
3610,abducens nucleus,human,English,abducens nucleus,,310
3611,abducens nucleus,Macaca fascicularis,English,abducens nucleus,,310
3612,abducens nucleus,rat,English,abducens nucleus,,310
1013196346,abducent colliculus,human,English,facial colliculus,,0
3240,abducent nerve,human,English,abducens nerve,,64
4290,accessory abducens nucleus (Crosby),human,English,,accessory facial nucleus,0
3658,accessory basal amygdaloid nucleus,human,English,accessory basal amygdaloid nucleus,,2
3659,accessory basal amygdaloid nucleus,Macaca fascicularis,English,accessory basal amygdaloid nucleus,,2
3662,accessory basal nucleus of amygdala,Macaca fascicularis,English,accessory basal amygdaloid nucleus,,1
4193,accessory cuneate nucleus,Macaca fascicularis,English,accessory cuneate nucleus,,10
4192,accessory cuneate nucleus,human,English,accessory cuneate nucleus,,10
4288,accessory facial nucleus,human,English,,accessory facial nucleus,0
2979,accessory medullary lamina of pallidum,human,English,accessory medullary lamina,,0
3285,accessory nerve,human,English,,accessory nerve,643
3356,accessory nerve fibers,Macaca fascicularis,English,accessory nerve fibers,,0
3355,accessory nerve fibers,human,English,accessory nerve fibers,,0
3307,accessory nerve nuclei,human,English,,accessory nerve nuclei,0
3670,accessory neurosecretory nuclei,human,English,,accessory neurosecretory nuclei,4
3309,accessory nucleus,human,English,,spinal accessory nucleus,0
4597,accessory oculomotor nuclei,human,English,,accessory oculomotor nuclei,23
5114,accessory oculomotor nucleus,human,English,parvocellular oculomotor nucleus,,10
1370,accessory olfactory bulb,human,English,,accessory olfactory bulb,341
1369,accessory olfactory bulb,human,English,,accessory olfactory bulb,341
1374,accessory olfactory cortical areas,human,English,,accessory olfactory cortical areas,0
4660,accessory olivary nucleus,human,English,lateral superior olivary nucleus,,15
5642,accessory paraflocculus,human,English,paraflocculus,,2
4754,accessory paramedian reticular nucleus,human,English,accessory paramedian reticular nucleus,,0
3297,accessory portion of spinal accessory nerve,human,English,cranial part of accessory nerve,,0
2705,accessory short gyrus,Unspecified,English,accessory short gyrus (H),,0
4661,accessory superior olivary nucleus,human,English,lateral superior olivary nucleus,,0
4659,accessory superior olive,human,English,lateral superior olivary nucleus,,0
5304,accessory trochlear nucleus,human,English,,accessory trochlear nucleus,0
3622,accumbens nucleus,human,English,nucleus accumbens,,142
3623,accumbens nucleus,rat,English,nucleus accumbens,,142
642,Acervulus,human,Latin,,brain sand,0
6987,acoustic area,human,English,acoustic tubercle,,14
6990,acoustic eminence,human,English,acoustic tubercle,,0
3249,acoustic nerve,human,English,,cochlear nerve,335
3262,acoustic nerve (Crosby),human,English,vestibulocochlear nerve,,0
5867,acoustic radiations,human,English,,auditory radiation,1
6208,acoustic sulcus,human,English,,acoustic sulcus,0
6984,acoustic tubercle,human,English,acoustic tubercle,,4
3835,AD,human,Abbreviation,anterodorsal nucleus,,0
3834,AD,Macaca mulatta,Abbreviation,anterodorsal nucleus,,0
2861,adenohypophysis,Macaca fascicularis,English,ADENOHYPOPHYSIS,,1296
2860,adenohypophysis,human,English,ADENOHYPOPHYSIS,,1296
