ID,English,Latin,Abbrev,V/S,Parent ID,P/S,BrainInfo URL
9,telodiencephalic fissure,Fissura telo-diencephalica,tdf,Vol,8,Primary,http://braininfo.rprc.washington.edu/Scripts/hiercentraldirectory.asp?ID=9&show=y
430,interventricular foramen,Foramen interventriculare,IVF,Vol,271,Primary,http://braininfo.rprc.washington.edu/Scripts/hiercentraldirectory.asp?ID=430&show=y
442,optic chiasm,Chiasma opticum,ox,Vol,271,Primary,http://braininfo.rprc.washington.edu/Scripts/hiercentraldirectory.asp?ID=442&show=y
443,optic tract,Tractus opticus,opt,Vol,271,Primary,http://braininfo.rprc.washington.edu/Scripts/hiercentraldirectory.asp?ID=443&show=y
444,habenulo-interpeduncular tract of diencephalon,Tractus habenulo-interpeduncularis diencephali,hipd,Vol,271,Primary,http://braininfo.rprc.washington.edu/Scripts/hiercentraldirectory.asp?ID=444&show=y
256,substantia innominata,Substantia innominata,SI,Vol,12,Primary,http://braininfo.rprc.washington.edu/Scripts/hiercentraldirectory.asp?ID=256&show=y
257,basal nucleus,Nucleus basalis,B,Vol,12,Primary,http://braininfo.rprc.washington.edu/Scripts/hiercentraldirectory.asp?ID=257&show=y
258,islands of Calleja,Insula Callejae,IClj,Vol,12,Primary,http://braininfo.rprc.washington.edu/Scripts/hiercentraldirectory.asp?ID=258&show=y
259,nucleus accumbens,Nucleus accumbens,Acb,Vol,12,Primary,http://braininfo.rprc.washington.edu/Scripts/hiercentraldirectory.asp?ID=259&show=y
260,subcallosal area,Area subcallosa,SCA,Vol,12,Primary,http://braininfo.rprc.washington.edu/Scripts/hiercentraldirectory.asp?ID=260&show=y
261,olfactory bulb,Bulbus olfactorius,Olf,Vol,12,Primary,http://braininfo.rprc.washington.edu/Scripts/hiercentraldirectory.asp?ID=261&show=y
262,anterior olfactory nucleus,Nucleus olfactorius anterior,AO,Vol,12,Primary,http://braininfo.rprc.washington.edu/Scripts/hiercentraldirectory.asp?ID=262&show=y
263,medial olfactory gyrus,Gyrus medius olfactorius,MOG,Vol,12,Primary,http://braininfo.rprc.washington.edu/Scripts/hiercentraldirectory.asp?ID=263&show=y
264,anterior perforated substance,Substantia perforata anterior,APS,Vol,12,Primary,http://braininfo.rprc.washington.edu/Scripts/hiercentraldirectory.asp?ID=264&show=y
265,olfactory tract,Tractus olfactorius,olf,Vol,12,Primary,http://braininfo.rprc.washington.edu/Scripts/hiercentraldirectory.asp?ID=265&show=y
266,lateral olfactory stria,Stria olfactoria lateralis,lo,Vol,12,Primary,http://braininfo.rprc.washington.edu/Scripts/hiercentraldirectory.asp?ID=266&show=y
267,diagonal band,Stria diagonalis,db,Vol,12,Primary,http://braininfo.rprc.washington.edu/Scripts/hiercentraldirectory.asp?ID=267&show=y
268,stria terminalis,Stria terminalis,st,Vol,12,Primary,http://braininfo.rprc.washington.edu/Scripts/hiercentraldirectory.asp?ID=268&show=y
270,ventral amygdalofugal projection,Tractus amygdalofugalis ventralis,vaf,Vol,12,Primary,http://braininfo.rprc.washington.edu/Scripts/hiercentraldirectory.asp?ID=270&show=y
233,claustral amygdaloid area,Area claustralis amygdalae,ClA,Vol,206,Primary,http://braininfo.rprc.washington.edu/Scripts/hiercentraldirectory.asp?ID=233&show=y
234,claustrum,Claustrum,Cl,Vol,206,Primary,http://braininfo.rprc.washington.edu/Scripts/hiercentraldirectory.asp?ID=234&show=y
1008802938,LIMBIC LOBE,Lobus fornicatus,LL,Vol,20,Primary,http://braininfo.rprc.washington.edu/Scripts/hiercentraldirectory.asp?ID=1008802938&show=y
172,semioval center,Centrum semiovale,sovc,Vol,171,Primary,http://braininfo.rprc.washington.edu/Scripts/hiercentraldirectory.asp?ID=172&show=y
190,lamina terminalis,Lamina terminalis,LT,Vol,171,Primary,http://braininfo.rprc.washington.edu/Scripts/hiercentraldirectory.asp?ID=190&show=y
235,external capsule,Capsula externa,ec,Vol,171,Primary,http://braininfo.rprc.washington.edu/Scripts/hiercentraldirectory.asp?ID=235&show=y
236,extreme capsule,Capsula extrema,exc,Vol,171,Primary,http://braininfo.rprc.washington.edu/Scripts/hiercentraldirectory.asp?ID=236&show=y
280,pineal body,Corpus pineale,Pi,Vol,275,Primary,http://braininfo.rprc.washington.edu/Scripts/hiercentraldirectory.asp?ID=280&show=y
281,stria medullaris of thalamus,Stria medullaris thalami,sm,Vol,275,Primary,http://braininfo.rprc.washington.edu/Scripts/hiercentraldirectory.asp?ID=281&show=y
282,habenular commissure,Commissura habenularum,hbc,Vol,275,Primary,http://braininfo.rprc.washington.edu/Scripts/hiercentraldirectory.asp?ID=282&show=y
251,anterior column of fornix,Columna fornicis anterior,afx,Vol,250,Primary,http://braininfo.rprc.washington.edu/Scripts/hiercentraldirectory.asp?ID=251&show=y
252,precommissural fornix,Fornix precommissuralis,pfx,Vol,250,Primary,http://braininfo.rprc.washington.edu/Scripts/hiercentraldirectory.asp?ID=252&show=y
253,body of fornix,Corpus fornicis,bfx,Vol,250,Primary,http://braininfo.rprc.washington.edu/Scripts/hiercentraldirectory.asp?ID=253&show=y
254,posterior column of fornix,Crus fornicis,pcfx,Vol,250,Primary,http://braininfo.rprc.washington.edu/Scripts/hiercentraldirectory.asp?ID=254&show=y
255,commissure of fornix,Commissura fornicis,cfx,Vol,250,Primary,http://braininfo.rprc.washington.edu/Scripts/hiercentraldirectory.asp?ID=255&show=y
413,dorsal hypothalamic area,Nucleus hypothalamicus dorsalis,DH,Vol,358,Primary,http://braininfo.rprc.washington.edu/Scripts/hiercentraldirectory.asp?ID=413&show=y
414,postcommissural fornix,Fornix postcommissuralis,pofx,Vol,358,Primary,http://braininfo.rprc.washington.edu/Scripts/hiercentraldirectory.asp?ID=414&show=y
415,dorsal longitudinal fasciculus of hypothalamus,Fasciculus longitudinalis dorsalis (hypothalami),dlfh,Vol,358,Primary,http://braininfo.rprc.washington.edu/Scripts/hiercentraldirectory.asp?ID=415&show=y
416,medial forebrain bundle,Fasciculus prosencephalicus medialis,mfb,Vol,358,Primary,http://braininfo.rprc.washington.edu/Scripts/hiercentraldirectory.asp?ID=416&show=y
200,choroid plexus of lateral ventricle,Plexus choroideus (ventriculi lateralis),cplv,Vol,191,Primary,http://braininfo.rprc.washington.edu/Scripts/hiercentraldirectory.asp?ID=200&show=y
201,tela choroidea of lateral ventricle,Tela choroidea (ventriculi lateralis),tclv,Vol,191,Primary,http://braininfo.rprc.washington.edu/Scripts/hiercentraldirectory.asp?ID=201&show=y
202,frontal horn of lateral ventricle,Cornu frontale (ventriculi lateralis),FLV,Vol,191,Primary,http://braininfo.rprc.washington.edu/Scripts/hiercentraldirectory.asp?ID=202&show=y
203,body of lateral ventricle,Pars centralis (ventriculi lateralis),BLV,Vol,191,Primary,http://braininfo.rprc.washington.edu/Scripts/hiercentraldirectory.asp?ID=203&show=y
204,temporal horn of lateral ventricle,Cornu temporale (ventriculi lateralis),TLV,Vol,191,Primary,http://braininfo.rprc.washington.edu/Scripts/hiercentraldirectory.asp?ID=204&show=y
205,occipital horn of lateral ventricle,Cornu occipitale (ventriculi lateralis),OLV,Vol,191,Primary,http://braininfo.rprc.washington.edu/Scripts/hiercentraldirectory.asp?ID=205&show=y
418,subthalamic nucleus,Nucleus subthalamicus,STh,Vol,417,Primary,http://braininfo.rprc.washington.edu/Scripts/hiercentraldirectory.asp?ID=418&show=y
419,nucleus of ansa lenticularis,Nucleus ansae lenticularis,AL,Vol,417,Primary,http://braininfo.rprc.washington.edu/Scripts/hiercentraldirectory.asp?ID=419&show=y
420,nucleus of field H,Nucleus area H,FH,Vol,417,Primary,http://braininfo.rprc.washington.edu/Scripts/hiercentraldirectory.asp?ID=420&show=y
421,zona incerta,Zona incerta,ZI,Vol,417,Primary,http://braininfo.rprc.washington.edu/Scripts/hiercentraldirectory.asp?ID=421&show=y
422,field H1,Fasciculus thalamicus,H1,Vol,417,Primary,http://braininfo.rprc.washington.edu/Scripts/hiercentraldirectory.asp?ID=422&show=y
423,field H,Area tegmentalis H,H,Vol,417,Primary,http://braininfo.rprc.washington.edu/Scripts/hiercentraldirectory.asp?ID=423&show=y
424,field H2,Fasciculus lenticularis (diencephali),H2,Vol,417,Primary,http://braininfo.rprc.washington.edu/Scripts/hiercentraldirectory.asp?ID=424&show=y
425,capsule of subthalamic nucleus,Capsula nuclei subthalamici,csth,Vol,417,Primary,http://braininfo.rprc.washington.edu/Scripts/hiercentraldirectory.asp?ID=425&show=y
426,pallidohabenular bundle,Fasciculus pallido-habenularis,phb,Vol,417,Primary,http://braininfo.rprc.washington.edu/Scripts/hiercentraldirectory.asp?ID=426&show=y
427,ansa lenticularis,Ansa lenticularis,al,Vol,417,Primary,http://braininfo.rprc.washington.edu/Scripts/hiercentraldirectory.asp?ID=427&show=y
428,ansa peduncularis,Ansa peduncularis,ap,Vol,417,Primary,http://braininfo.rprc.washington.edu/Scripts/hiercentraldirectory.asp?ID=428&show=y
348,thalamic reticular nucleus,Nucleus reticularis thalami,Rt,Vol,283,Primary,http://braininfo.rprc.washington.edu/Scripts/hiercentraldirectory.asp?ID=348&show=y
357,stratum zonale of thalamus,Stratum zonale thalami,SZ,Vol,283,Primary,http://braininfo.rprc.washington.edu/Scripts/hiercentraldirectory.asp?ID=357&show=y
434,velum interpositum,Velum interpositum,vi,Vol,429,Primary,http://braininfo.rprc.washington.edu/Scripts/hiercentraldirectory.asp?ID=434&show=y
435,choroid plexus of third ventricle,Plexus choroidea (ventriculi tertii),cp3v,Vol,429,Primary,http://braininfo.rprc.washington.edu/Scripts/hiercentraldirectory.asp?ID=435&show=y
436,tela choroidea of third ventricle,Tela choroidea (ventriculi tertii),tc3v,Vol,429,Primary,http://braininfo.rprc.washington.edu/Scripts/hiercentraldirectory.asp?ID=436&show=y
437,subfornical organ,Organum subfornicale,SFO,Vol,429,Primary,http://braininfo.rprc.washington.edu/Scripts/hiercentraldirectory.asp?ID=437&show=y
438,suprapineal recess,Recessus suprapinealis,SPiRe,Vol,429,Primary,http://braininfo.rprc.washington.edu/Scripts/hiercentraldirectory.asp?ID=438&show=y
439,pineal recess,Recessus pinealis,PiRe,Vol,429,Primary,http://braininfo.rprc.washington.edu/Scripts/hiercentraldirectory.asp?ID=439&show=y
440,optic recess,Recessus opticus,ORe,Vol,429,Primary,http://braininfo.rprc.washington.edu/Scripts/hiercentraldirectory.asp?ID=440&show=y
441,infundibular recess,Recessus infundibularis,IRe,Vol,429,Primary,http://braininfo.rprc.washington.edu/Scripts/hiercentraldirectory.asp?ID=441&show=y
225,central amygdaloid nucleus,Nucleus amygdalae centralis,CeA,Vol,219,Primary,http://braininfo.rprc.washington.edu/Scripts/hiercentraldirectory.asp?ID=225&show=y
232,intercalated amygdaloid nuclei,Nucleus amygdalae intercalatus,IA,Vol,219,Primary,http://braininfo.rprc.washington.edu/Scripts/hiercentraldirectory.asp?ID=232&show=y
227,lateral amygdaloid nucleus,Nucleus amygdalae lateralis,LA,Vol,226,Primary,http://braininfo.rprc.washington.edu/Scripts/hiercentraldirectory.asp?ID=227&show=y
231,accessory basal amygdaloid nucleus,Nucleus amygdalae basalis accessorius,ABA,Vol,226,Primary,http://braininfo.rprc.washington.edu/Scripts/hiercentraldirectory.asp?ID=231&show=y
221,anterior amygdaloid area,Area amygdaloidea anterior,AA,Vol,220,Primary,http://braininfo.rprc.washington.edu/Scripts/hiercentraldirectory.asp?ID=221&show=y
222,cortical amygdaloid nucleus,Nucleus amygdalae corticalis,CoA,Vol,220,Primary,http://braininfo.rprc.washington.edu/Scripts/hiercentraldirectory.asp?ID=222&show=y
223,medial amygdaloid nucleus,Nucleus amygdalae medialis,MeA,Vol,220,Primary,http://braininfo.rprc.washington.edu/Scripts/hiercentraldirectory.asp?ID=223&show=y
224,nucleus of lateral olfactory tract,Nucleus striae olfactoriae lateralis,LOT,Vol,220,Primary,http://braininfo.rprc.washington.edu/Scripts/hiercentraldirectory.asp?ID=224&show=y
229,lateral part of basal amygdaloid nucleus,"Nucleus amygdalae basalis, pars lateralis",BAL,Vol,228,Primary,http://braininfo.rprc.washington.edu/Scripts/hiercentraldirectory.asp?ID=229&show=y
230,medial part of basal amygdaloid nucleus,"Nucleus amygdalae basalis, pars medialis",BAM,Vol,228,Primary,http://braininfo.rprc.washington.edu/Scripts/hiercentraldirectory.asp?ID=230&show=y
188,anterior part of anterior commissure,"Commissura anterior, pars anterior",aca,Vol,187,Primary,http://braininfo.rprc.washington.edu/Scripts/hiercentraldirectory.asp?ID=188&show=y
189,posterior part of anterior commissure,"Commissura anterior, pars posterior",acp,Vol,187,Primary,http://braininfo.rprc.washington.edu/Scripts/hiercentraldirectory.asp?ID=189&show=y
365,anteroventral periventricular nucleus,Nucleus periventricularis anteroventralis,AVPe,Vol,359,Primary,http://braininfo.rprc.washington.edu/Scripts/hiercentraldirectory.asp?ID=365&show=y
366,supraoptic crest,Organum vasculosum,SoC,Vol,359,Primary,http://braininfo.rprc.washington.edu/Scripts/hiercentraldirectory.asp?ID=366&show=y
367,suprachiasmatic nucleus,Nucleus suprachiasmaticus,SCh,Vol,359,Primary,http://braininfo.rprc.washington.edu/Scripts/hiercentraldirectory.asp?ID=367&show=y
368,supraoptic nucleus,Nucleus supraopticus,SO,Vol,359,Primary,http://braininfo.rprc.washington.edu/Scripts/hiercentraldirectory.asp?ID=368&show=y
369,anterior nucleus of hypothalamus,Nucleus hypothalamicus anterior,AH,Vol,359,Primary,http://braininfo.rprc.washington.edu/Scripts/hiercentraldirectory.asp?ID=369&show=y
370,paraventricular nucleus of hypothalamus,Nucleus paraventricularis hypothalami,Pa,Vol,359,Primary,http://braininfo.rprc.washington.edu/Scripts/hiercentraldirectory.asp?ID=370&show=y
371,dorsal supraoptic decussation,Commissura supraoptica dorsalis,dsox,Vol,359,Primary,http://braininfo.rprc.washington.edu/Scripts/hiercentraldirectory.asp?ID=371&show=y
372,ventral supraoptic decussation,Commissura supraoptica ventralis,vsox,Vol,359,Primary,http://braininfo.rprc.washington.edu/Scripts/hiercentraldirectory.asp?ID=372&show=y
